2136828,Interworld,,,https://img3.doubanio.com/view/subject/l/public/s2565416.jpg,,0.0,0,科幻/动画/奇幻,tt1054491,,0,,美国,,ZZRAAY3Ff,,NeilGaiman/小说改编/美国电影/美国/科幻/奇幻/Neil·Gaiman,2022,,
4285992,魔法奇缘2：解除魔法,解除魔法,艾米·亚当斯,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2564087044.jpg,亚当·尚克曼,0.0,0,爱情/动画/家庭/奇幻/冒险,tt1596342,英语,0,,美国,,zFfEBAIBe,据悉，《魔法奇缘2》（Enchanted 2）将由曾执导过桑德拉·布洛克卖座浪漫喜剧《假结婚》（The Proposal）的女导演安妮·弗莱切（Anne Fletcher）执导，曾创作《蓝精灵》（The Smurfs）、《怪物史瑞克2》（Shrek 2）等影片剧本的J. David Stem和David N. Weiss将担任编剧。,童话/迪士尼/爱情/魔幻/美国/美国电影/啥？第二部？/AmyAdams,2022,艾米·亚当斯:1022563,亚当·尚克曼:1036437
2989728,阿基拉,美国版阿基拉,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2113286655.jpg,塔伊加·维迪提,0.0,0,剧情/动作/科幻/悬疑/惊悚,tt1134795,英语,0,,美国,,Y3NQAm7If,莱昂纳多迪卡普里奥非常热心地想以制片人的身份将其搬上大银幕，但由于一直没有成形的令人满意的剧本，资金也没有到位，并且至今也没有一位有能力肩负1.5亿美元投资的巨星表示愿意加盟（迪卡普里奥本人曾经被传言将出演Kaneda，但后来被证实只是谣言；制片方曾接触过布拉德皮特，但皮特拒绝了该片）。Kaneda一角还曾被传言归属Zac Efron，最近又传出James Franco正在协商出演Kaneda，Mila Kunis也可能加入该片——但师太预测这一切都将化为浮云，除非投资规模大幅度缩小，并且剧本能在近期竣工，我不认为James Franco会接下该角色。所以，所有的原著迷们暂时可以松一口气了，相信在相当长的一段时间内这部电影不会变成现实。,LeonardoDiCaprio/科幻/美国/漫畫改編/JosephGordon-Levitt/美国电影/美国版阿基拉/莱昂纳多,2022,,塔伊加·维迪提:1076354
3885124,Hansel and Gretel in 3D,,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p553079042.jpg,,0.0,0,动作/奇幻/冒险,tt1479244,英语,0,,德国,,iFZ3zNuMe,,,2022,,
3760978,不明飞行物,,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2263374841.jpg,,0.0,0,科幻,tt1443799,,0,,英国 / 美国,,rairE3FZf,"Based in the near future - where a super secret military organization SHADO (Supreme Headquarters Alien Defense Organization) becomes operational. Its purpose, to defend Earth from an Alien race, which has been abducting humans from all corners of the planet for decades. SHADO's cover is a London movie studio where their main headquarters are hidden deep below the surface. SHADO, run by the extremely dedicated ""Studio Mogul"" and SHADO Commander Ed Straker has a cadre of crack operatives with an arsenal of cutting edge futuristic weapons systems and hidden bases on earth and beyond. UFO is the first in a trilogy of tent-pole movies based on the 1970's cult TV show, UFO, created by Gerry Anderson.",科幻/U.F.O./美国/烂片/垃圾/英国/外星人/美國,2022,,
3099221,活死人军团,死亡之师 / 死亡军团 / 僵尸军团,戴夫·巴蒂斯塔/艾拉·珀内尔/加瑞特·迪拉胡特/安娜·德拉·雷古拉/西奥·罗西/诺拉·阿娜泽德尔/克里斯·德埃利亚/真田广之/欧玛瑞·哈德威克/胡玛·库雷希/劳尔·卡斯提洛/萨曼塔·若/马提亚斯·施维赫夫/理查德·赛特伦,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2546803041.jpg,扎克·施奈德,0.0,0,动作/科幻/惊悚/恐怖,tt0993840,英语,0,,美国,,aijzVBmjb,自扎克·施奈德因“家庭变故”中途离开《正义联盟》导演岗位之后（也有说法称他是被华纳DC炒了鱿鱼），就一直未有长片新作推出。今天，扎导自《正义联盟》之后第一个长片执导项目终于官宣了——他将为Netflix执导丧尸惊悚片《死亡之师》（暂译，Army of the Dead）。值得一提的是，扎导15年前的导演处女作《活死人黎明》就是丧尸片。在为华纳DC执导多部超级英雄大片后，扎导又重回开始的地方。,扎克·施奈德/丧尸片/ZackSnyder/Netflix/恐怖/美国/丧尸/动作,2021,戴夫·巴蒂斯塔:1014003|艾拉·珀内尔:1261575|加瑞特·迪拉胡特:1036365|安娜·德拉·雷古拉:1000082|西奥·罗西:1146762|诺拉·阿娜泽德尔:1037169|克里斯·德埃利亚:1315822|真田广之:1027879|欧玛瑞·哈德威克:1013901|胡玛·库雷希:1327126|劳尔·卡斯提洛:1338121|萨曼塔·若:1330077|马提亚斯·施维赫夫:1032127|理查德·赛特伦:1280368,扎克·施奈德:1031904
4038178,罗伯,,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2542547645.jpg,迈克尔·贝,0.0,0,动作/科幻,tt1509745,英语,0,,美国,,vUBQQeUZf,华纳兄弟公司将请盖伊·里奇（Guy Ritchie）执导根据DC漫画《罗伯》（Lobo）改编的同名电影。,DC/科幻/漫画改编/超级英雄/美国电影/美国/电影/期待我最喜欢的角色,2021,,迈克尔·贝:1027776
2131664,真人快打：毁灭,格斗之王,乔·塔斯利姆/林路迪/浅野忠信/刘易斯·谭/真田广之/黄经汉/麦卡德·布鲁克斯/杰西卡·麦克娜美/约什·劳森,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2263282664.jpg,西蒙·麦奎德,0.0,0,动作/科幻/惊悚/奇幻/冒险,tt0293429,英语,0,,澳大利亚 / 美国,2021-03-05,AeiNYfi7e,援引That Hashtag Show消息，乔尔·埃哲顿是新线游改电影[真人快打：毁灭]中Kano角色的首选。埃哲顿此番将使用他的澳洲本土口音。本片由温子仁担任制片人，西蒙·麦夸伊德执导，格雷格·罗素已完成了剧本。影片将围绕一个身心俱疲的拳击手科尔·特纳展开，他被招募来帮助保护地球和他的女儿。他必须加入一支战斗队伍，与来自另一个维度的杀手进行一场永恒的战斗。该片有望今夏在澳洲开机。,真人快打/游戏改编/美国/动作/游戏电影!/Mortal/Kombat/美国电影,2021,乔·塔斯利姆:1319994|林路迪:1351645|浅野忠信:1036630|刘易斯·谭:1182397|真田广之:1027879|黄经汉:1036774|麦卡德·布鲁克斯:1040557|杰西卡·麦克娜美:1313567|约什·劳森:1317237|Sisi Stringer:,西蒙·麦奎德:1412538
2042941,养鬼吃人,新养鬼吃人,,https://img1.doubanio.com/view/subject/l/public/s6875508.jpg,,0.0,0,恐怖,tt0887261,英语,0,,美国,,AAYvMmVnb,经典恐怖片[养鬼吃人]将被重启。大卫·S·高耶([蝙蝠侠：黑暗骑士])将担任重启影片制片人与编剧。在这30年来，[养鬼吃人]这个IP已推出10部影片、漫画及周边商品，首部[养鬼吃人]于1987年上映，故事改编自克莱夫·巴克小说《受地狱羁绊之心》，讲述英国人弗兰克·科顿通过某种神秘的仪式打开了魔方和另一个世界的通道，魔鬼赛诺贝斯降临人间，弗兰克也为其所杀。在此之后，弗兰克的哥哥莱瑞和妻子朱莉搬到这座房子里。朱莉是莱瑞的新任妻子，她曾背着丈夫和弗兰克有染。莱瑞搬家具时不慎弄伤右手，血滴到阁楼地板上，偏巧使埋在下面的弗兰克得以复苏。为了使情人恢复本来面貌，朱莉开始想方设法为其奉上活人的血肉。,恐怖/美国/美国电影/克里夫·巴克/惊悚/奇幻/三浦/Horror,2021,,
3323941,岛王,,基里安·墨菲/莎莉·霍金斯/渡边谦/拉菲·卡西迪,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2552557087.jpg,,0.0,0,动画,tt5674658,,0,,英国,,qa6I3j7Qe,莎莉·霍金斯、基里安·墨菲、渡边谦、拉菲·卡西迪将担任动画影片[岛王](Kensuke's Kingdom，暂译)配音。影片故事根据迈克尔·莫波格同名小说改编，讲述麦克坐船环游世界途中，他和小狗史特拉被风浪扫落大海。靠着一个足球，他们漂浮到一座荒岛。荒岛上住着一个二次世界大战因船难流亡的日本老兵健介。[淘气大侦探]动画师尼尔·鲍伊、柯尔克·亨德瑞执导。,莎莉·霍金斯/温情/动画/电影/murphy/cillian,2021,基里安·墨菲:1047992|莎莉·霍金斯:1044915|渡边谦:1027181|拉菲·卡西迪:1328234,
